,code,fundName,invType,purchaseDate,type,units,monthly_gain,yearly_gain,incPercent,yrIncPercent,recentInc,pastInc,lastDGain
0,142388,Edelweiss Recently Listed IPO Fund Direct Plan Growth,L,2021-06-30 00:00:00,,5399.661999999999,5299.768252999983,17625.03673419999,5.071565132020859,19.121403130565184,-0.00856163548690659,0.01564174936914364,-678.1975472000115
1,120594,ICICI Prudential Technology Fund - Direct Plan -  Growth,L,2021-02-26 00:00:00,,367.5,5416.9500000000035,24828.3,9.117901769145126,62.07276736493936,0.032726421169720764,0.020347463814800498,540.2249999999996
2,118557,Franklin Build India Fund - Direct - Growth,L,2021-06-24 00:00:00,,1282.182,3902.1926987999886,10549.793495999993,4.503736588975199,13.18792634764322,0.0033146219867557177,0.014068567566019131,-367.4733612000091
3,102765,SBI Focused Equity Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),L,2019-12-13 00:00:00,,2179.0,3968.1769000000027,25907.002600000003,4.300463319369208,36.834034010465246,0.006402850977631171,0.010724389941781248,7.8444000000126834
4,120578,SBI TECHNOLOGY OPPORTUNITIES FUND - DIRECT PLAN - GROWTH,L,2020-07-07 00:00:00,,402.9,3942.1750499999916,25239.871949999997,6.111340128916192,58.414535214419594,0.024005791238160414,0.017945254028745923,538.4758500000004
5,140228,Edelweiss Mid Cap Fund - Direct Plan - Growth Option,L,2021-08-31 00:00:00,,1144.5,1546.219499999999,1683.559499999996,2.5373751032980225,2.7689932986973806,-0.002430200263119476,0.01398795837833791,-489.846000000005
6,119598,SBI BLUE CHIP FUND-DIRECT PLAN -GROWTH,L,2021-06-26 00:00:00,,1131.26,3473.6469559999987,8710.023243999996,4.780892622204228,12.918954926112916,0.014537302812484838,0.009166379239382367,28.734004000005374
7,119700,SBI INFRASTRUCTURE FUND -  DIRECT PLAN - GROWTH,L,2021-06-26 00:00:00,,1803.1,1959.78939,5695.4519700000055,4.340585613648344,13.752253075938471,0.010559171975261494,0.013305351271088162,-170.39295000000004
8,103883,SBI Long Term Equity Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),L,2019-12-20 00:00:00,,1397.6,1960.4135199999942,17417.310479999996,2.6168409112956708,29.29328306286316,0.006350350540813444,0.009672227979958335,-324.80224000000766
9,119065,HDFC Index Fund-Sensex Plan - Direct Plan,L,2020-02-03 00:00:00,,139.2,3456.1272000000104,15859.083840000001,4.7457143113816445,26.24662616373738,0.017432632469533502,0.008557339649531205,206.55888000000866
10,119202,Tata Large & MId Cap Fund -Direct Plan- Growth Option,L,2020-01-22 00:00:00,,165.0,1548.9374999999982,14394.600000000002,2.657710148078688,31.681574752937102,0.0010239231966501397,0.009968690088184242,-179.1239999999999
11,145206,Tata Small Cap Fund-Direct Plan-Growth,L,2021-05-31 00:00:00,,2404.56,1006.308360000004,7438.987272000004,1.9566406560473597,16.531915462099562,-0.004614689409949601,0.017878496895205175,-380.64184799999276
12,120468,Axis Focused 25 Fund - Direct Plan - Growth Option,L,2020-03-12 00:00:00,,1002.67,2807.476000000004,12653.695400000004,5.489119780435218,30.638504491381415,0.019901440485216155,0.009606224727035323,-190.5072999999977
13,135793,Tata Banking And Financial Services Fund-Direct Plan-Growth,L,2021-03-24 00:00:00,,2693.5,1038.0749000000017,11650.734249999994,1.331242400795846,17.29487451170117,-0.007178175098737965,0.007888075126606747,46.32819999999729
14,125354,Axis Small Cap Fund - Direct Plan - Growth,L,2020-02-25 00:00:00,,64.05,178.69949999999994,1419.3479999999997,4.465428937259921,51.403386685223836,0.008653994745788941,0.01483697907954975,-12.169499999999854
15,119788,SBI GOLD FUND- DIRECT PLAN - GROWTH,L,2020-11-26 00:00:00,,3824.4,-1261.6695600000012,-5216.864040000002,-2.191880938143647,-8.48046651580335,-0.005478915296374815,-0.0013522706599937509,-417.6244799999982
16,135810,Tata India Pharma & Healthcare Fund-Direct Plan-Growth,L,2021-04-20 00:00:00,,2296.37,-458.5850889999999,5325.282029999998,-1.00167531073503,13.313889734124087,-0.007777152164732944,0.007317219604184135,-605.0934950000011
17,118724,Nippon India Consumption Fund - Direct Plan Growth Plan - Growth Option,L,2021-06-30 00:00:00,,376.98,1246.4466719999987,5850.955788000001,2.7945714452339527,14.62815112784152,0.004160419294966228,0.01164937873094602,-215.63256000000104
18,148634,Axis Special Situations Fund - Direct Plan - Growth Option,L,2021-07-29 00:00:00,,3330.39,1998.2340000000047,4729.153799999999,4.662004662004673,11.784232365145227,0.0,0.0,0.0
19,140175,Edelweiss Large & Mid Cap Fund - Direct Plan - Growth Option,L,2021-08-31 00:00:00,,710.305,1353.1310249999956,1417.058474999998,3.3775996879487846,3.542824670135493,0.010958144051045495,0.011451993541175008,-73.16141500000109
20,141588,Axis Corporate Debt Fund - Direct Plan Growth,L,2021-06-03 00:00:00,,2909.18,115.20352800000022,671.1478259999965,0.28407460545193747,1.6779524180116139,0.0004293811186809575,0.0010048535820198139,-12.800392000001173
21,120685,ICICI Prudential Regular Gold Savings Fund (FOF) - Direct Plan -  Growth,L,2021-01-06 00:00:00,,2335.7,-618.9605000000013,-4373.598250000001,-1.6823260538344373,-10.786600996572485,-0.0029485990935310983,-0.001250880523307348,-264.1676699999984
22,133860,SBI Banking & Financial Services Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),L,2019-11-28 00:00:00,,1175.055,525.9546179999974,4619.9637434999995,1.991944994548398,20.70798044916361,0.002765271342250387,0.007016696942082601,33.60657299999682
23,119609,SBI EQUITY HYBRID FUND - DIRECT PLAN - Growth,L,2021-06-25 00:00:00,,65.413,463.00629659999873,1393.7024605999993,3.3154838745941158,10.692598458706456,0.007964369636686133,0.0075960145463146375,-23.071165099999913
24,120592,ICICI Prudential Long Term Equity Fund (Tax Saving) - Direct Plan -  Growth,L,2019-12-04 00:00:00,,12.083,317.05792000000014,2065.7096800000004,4.189217235819086,35.49465379424895,0.014551107656432201,0.010934167600907985,9.908060000000605
25,120186,ICICI Prudential US Bluechip Equity Fund - Direct Plan -  Growth,L,2020-07-28 00:00:00,,1550.93,-124.07439999999735,13198.414299999997,-0.1643047853768706,21.2219451371571,0.011865112406328066,0.00558677258929148,139.58369999999428
26,129309,ICICI Prudential Dividend Yield Equity Fund Direct Plan IDCW Option,L,2020-08-14 00:00:00,,1886.7,1452.7589999999993,8735.420999999998,4.54277286135693,35.37051184110007,0.014891179839633333,0.011084619567490692,-56.601000000002145
27,148947,Tata Dividend Yield Fund-Direct Plan-Growth,L,2021-05-17 00:00:00,,3999.8,1182.3408800000013,5029.7485000000015,2.6868086421436326,12.524900398406379,0.0,0.0,-277.1861400000006
28,119711,SBI MAGNUM GLOBAL FUND - DIRECT PLAN -GROWTH,L,2021-07-16 00:00:00,,176.856,1104.200435999997,3842.921709600003,2.0938125968138843,7.6862072319841594,-0.0020517443432795505,0.010679795735325131,-279.32636640000374
29,148921,Aditya Birla Sun Life Multi-Cap Fund-Direct Growth,L,2021-05-03 00:00:00,,500.0,229.99999999999955,1200.0000000000002,3.814262023217239,23.71541501976285,0.0,0.0,-20.000000000000462
30,118537,Franklin India Technology Fund - Direct - Growth,L,2021-08-18 00:00:00,,30.9,538.4819400000002,834.9859799999999,4.841628682703375,7.713201859923445,0.014163270527604622,0.01211847872369122,107.75757000000014
31,140243,Edelweiss Greater China Equity Off-shore Fund - Direct Plan - Growth Option,L,2021-08-02 00:00:00,,533.61,-1110.9760200000005,-2179.2632400000016,-3.8401947764497577,-7.264577181685587,-0.034430389124516174,0.0015164855197668972,-80.575109999998
32,119065,HDFC Index Fund-Sensex Plan - Direct Plan,S,2021-08-30 00:00:00,,19.264,478.2962240000015,557.0763520000002,4.7457143113816445,5.570926536897998,0.017432632469533502,0.008557339649531205,28.5858496000012
0,119065,HDFC Index Fund-Sensex Plan - Direct Plan,,14-09-2021,A,9.404957729417484,153.97138447561264,153.97138447561264,3.079427689512253,3.079427689512253,0.017432632469533502,0.008557339649531205,13.956016774683192
